user_id_1,user_id_2,user_id_3,position_relative
USER_79321756,USER_6197f95d,USER_ce270acf,Derriere à droite
USER_79321756,USER_6197f95d,USER_2929b0da,Derriere à gauche
USER_79321756,USER_6197f95d,USER_f730f97b,Derriere à gauche
USER_79321756,USER_6197f95d,USER_87b48222,Derriere à gauche
USER_79321756,USER_6197f95d,USER_064b120e,Derriere à gauche
USER_79321756,USER_6197f95d,USER_8d0e8566,Derriere à gauche
USER_79321756,USER_6197f95d,USER_942c68df,Derriere à gauche
USER_79321756,USER_6197f95d,USER_47e93993,Derriere à gauche
USER_79321756,USER_6197f95d,USER_cd29704a,Derriere à gauche
USER_79321756,USER_6197f95d,USER_4a302bbd,Derriere à gauche
USER_79321756,USER_6197f95d,USER_f4403470,Derriere à gauche
USER_79321756,USER_6197f95d,USER_1935b6af,Derriere à gauche
USER_79321756,USER_6197f95d,USER_1f30d9f5,Derriere à gauche
USER_79321756,USER_6197f95d,USER_683250c0,Derriere à gauche
USER_79321756,USER_6197f95d,USER_cf2a2b58,Derriere à droite
USER_79321756,USER_6197f95d,USER_c49f780b,Derriere à gauche
USER_79321756,USER_6197f95d,USER_1c8d2a8d,Derriere à gauche
USER_79321756,USER_6197f95d,USER_e96c1548,Derriere à droite
USER_79321756,USER_6197f95d,USER_fc21286a,Derriere à gauche
USER_79321756,USER_6197f95d,USER_d2aa4b17,Derriere à gauche
USER_79321756,USER_6197f95d,USER_f5c7cb2d,Derriere à gauche
USER_79321756,USER_6197f95d,USER_f0c0255e,Derriere à droite
USER_79321756,USER_6197f95d,USER_816f07a9,Derriere à gauche
USER_79321756,USER_6197f95d,USER_a64d956d,Derriere à gauche
USER_79321756,USER_6197f95d,USER_7f5ce035,Derriere à gauche
USER_79321756,USER_6197f95d,USER_4c2ec32c,Derriere à gauche
USER_79321756,USER_6197f95d,USER_a7f2c379,Derriere à gauche
USER_79321756,USER_6197f95d,USER_ee2fb467,Derriere à gauche
USER_79321756,USER_6197f95d,USER_fae25a05,Derriere à droite
USER_79321756,USER_6197f95d,USER_00a95768,Derriere à gauche
USER_79321756,USER_6197f95d,USER_451f3bf0,Derriere à droite
USER_79321756,USER_6197f95d,USER_d886bd3a,Derriere à gauche
USER_79321756,USER_6197f95d,USER_e0993f6a,Derriere à gauche
USER_79321756,USER_6197f95d,USER_5445ff95,Derriere à droite
USER_79321756,USER_6197f95d,USER_e4b63c5e,Derriere à droite
USER_79321756,USER_6197f95d,USER_38f1e42c,Derriere à droite
USER_79321756,USER_6197f95d,USER_7cd62499,Derriere à droite
USER_79321756,USER_6197f95d,USER_97bcb778,Derriere à gauche
USER_79321756,USER_6197f95d,USER_5da919fa,Derriere à droite
USER_79321756,USER_6197f95d,USER_2c762cec,Derriere à gauche
USER_79321756,USER_6197f95d,USER_bee47891,Derriere à gauche
USER_79321756,USER_6197f95d,USER_1a0fd215,Derriere à gauche
USER_79321756,USER_6197f95d,USER_6c78461b,Derriere à gauche
USER_79321756,USER_6197f95d,USER_1c475ce1,Derriere à gauche
USER_79321756,USER_6197f95d,USER_855b5cb1,Derriere à droite
USER_79321756,USER_6197f95d,USER_82f50279,Derriere à gauche
USER_79321756,USER_6197f95d,USER_1e9fb0be,Derriere à gauche
USER_79321756,USER_6197f95d,USER_64a5e953,Derriere à gauche
USER_79321756,USER_6197f95d,USER_90302e40,Derriere à droite
USER_79321756,USER_6197f95d,USER_7d7839d1,Derriere à gauche
USER_79321756,USER_6197f95d,USER_c7394660,Derriere à gauche
USER_79321756,USER_6197f95d,USER_f00efc6f,Derriere à droite
USER_79321756,USER_6197f95d,USER_605b70db,Derriere à droite
USER_79321756,USER_6197f95d,USER_bd885eea,Derriere à gauche
USER_79321756,USER_6197f95d,USER_334e34f1,Derriere à droite
USER_79321756,USER_6197f95d,USER_ee2fbcce,Derriere à gauche
