user_id_1,user_id_2,position_relative
USER_79321756,USER_79321756,Confondu
USER_79321756,USER_6197f95d,Nord-Ouest
USER_79321756,USER_ce270acf,Nord-Ouest
USER_79321756,USER_2929b0da,Nord-Ouest
USER_79321756,USER_f730f97b,Nord-Ouest
USER_79321756,USER_87b48222,Nord-Ouest
USER_79321756,USER_064b120e,Nord-Ouest
USER_79321756,USER_8d0e8566,Nord-Ouest
USER_79321756,USER_942c68df,Nord-Ouest
USER_79321756,USER_47e93993,Nord-Ouest
USER_79321756,USER_cd29704a,Nord-Ouest
USER_79321756,USER_4a302bbd,Nord-Ouest
USER_79321756,USER_f4403470,Nord-Ouest
USER_79321756,USER_1935b6af,Nord-Ouest
USER_79321756,USER_1f30d9f5,Nord-Ouest
USER_79321756,USER_683250c0,Nord-Ouest
USER_79321756,USER_cf2a2b58,Nord-Ouest
USER_79321756,USER_c49f780b,Nord-Ouest
USER_79321756,USER_1c8d2a8d,Nord-Ouest
USER_79321756,USER_e96c1548,Nord-Ouest
USER_79321756,USER_fc21286a,Nord-Ouest
USER_79321756,USER_d2aa4b17,Nord-Ouest
USER_79321756,USER_f5c7cb2d,Nord-Ouest
USER_79321756,USER_f0c0255e,Nord-Ouest
USER_79321756,USER_816f07a9,Nord-Ouest
USER_79321756,USER_a64d956d,Nord-Ouest
USER_79321756,USER_7f5ce035,Nord-Ouest
USER_79321756,USER_4c2ec32c,Nord-Ouest
USER_79321756,USER_a7f2c379,Nord-Ouest
USER_79321756,USER_ee2fb467,Nord-Ouest
USER_79321756,USER_fae25a05,Nord-Ouest
USER_79321756,USER_00a95768,Nord-Ouest
USER_79321756,USER_451f3bf0,Nord-Ouest
USER_79321756,USER_d886bd3a,Nord-Ouest
USER_79321756,USER_e0993f6a,Nord-Ouest
USER_79321756,USER_5445ff95,Nord-Ouest
USER_79321756,USER_e4b63c5e,Nord-Ouest
USER_79321756,USER_38f1e42c,Nord-Ouest
USER_79321756,USER_7cd62499,Nord-Ouest
USER_79321756,USER_97bcb778,Nord-Ouest
USER_79321756,USER_5da919fa,Nord-Ouest
USER_79321756,USER_2c762cec,Nord-Ouest
USER_79321756,USER_bee47891,Nord-Ouest
USER_79321756,USER_1a0fd215,Nord-Ouest
USER_79321756,USER_6c78461b,Nord-Ouest
USER_79321756,USER_1c475ce1,Nord-Ouest
USER_79321756,USER_855b5cb1,Nord-Ouest
USER_79321756,USER_82f50279,Nord-Ouest
USER_79321756,USER_1e9fb0be,Nord-Ouest
USER_79321756,USER_64a5e953,Nord-Ouest
USER_79321756,USER_90302e40,Nord-Ouest
USER_79321756,USER_7d7839d1,Nord-Ouest
USER_79321756,USER_c7394660,Nord-Ouest
USER_79321756,USER_f00efc6f,Nord-Ouest
USER_79321756,USER_605b70db,Nord-Ouest
USER_79321756,USER_bd885eea,Nord-Ouest
USER_79321756,USER_334e34f1,Nord-Ouest
USER_79321756,USER_ee2fbcce,Nord-Ouest
USER_79321756,USER_46ac1f85,Nord-Ouest
USER_79321756,USER_8e6066ee,Nord-Ouest
USER_79321756,USER_704a2c15,Nord-Ouest
USER_79321756,USER_7affbca6,Nord-Ouest
USER_79321756,USER_ecb4ec3c,Nord-Ouest
USER_79321756,USER_d2e563c2,Nord-Ouest
USER_79321756,USER_d61b68ff,Nord-Ouest
USER_79321756,USER_06db433d,Nord-Ouest
USER_79321756,USER_ca3952e2,Nord-Ouest
USER_79321756,USER_bde42a0e,Nord-Ouest
USER_79321756,USER_bbbeb98a,Nord-Ouest
USER_79321756,USER_d747278c,Nord-Ouest
USER_79321756,USER_a4e6e878,Nord-Ouest
USER_79321756,USER_2db7e7f9,Nord-Ouest
USER_79321756,USER_c56075fb,Nord-Ouest
USER_79321756,USER_02d08494,Nord-Ouest
USER_79321756,USER_2dfabc44,Nord-Ouest
USER_79321756,USER_3b9d9416,Nord-Ouest
USER_79321756,USER_245a87d0,Nord-Ouest
USER_79321756,USER_a8f39b1f,Nord-Ouest
USER_79321756,USER_e88d8863,Nord-Ouest
USER_79321756,USER_b1c09703,Nord-Ouest
USER_79321756,USER_92b2293c,Nord-Ouest
USER_79321756,USER_d7c6afe0,Nord-Ouest
USER_79321756,USER_eea8227a,Nord-Ouest
USER_79321756,USER_46e69284,Nord-Ouest
USER_79321756,USER_f602b44c,Nord-Ouest
USER_79321756,USER_49554e9c,Nord-Ouest
USER_79321756,USER_f8d9e73f,Nord-Est
USER_79321756,USER_74880a9f,Nord-Ouest
USER_79321756,USER_1c68e1b0,Nord-Ouest
USER_79321756,USER_7cb88e16,Nord-Ouest
USER_79321756,USER_b533823f,Nord-Ouest
USER_79321756,USER_e34edf78,Nord-Ouest
USER_79321756,USER_14365f19,Nord-Ouest
USER_79321756,USER_bddd7447,Nord-Ouest
USER_79321756,USER_f5674fa0,Nord-Ouest
USER_79321756,USER_a868fd4f,Nord-Ouest
USER_79321756,USER_26d7e6c4,Nord-Ouest
USER_79321756,USER_1dd18c66,Nord-Ouest
USER_79321756,USER_7dae9a82,Nord-Ouest
USER_79321756,USER_bdeb6abd,Nord-Ouest
USER_79321756,USER_7f72a368,Nord-Ouest
USER_79321756,USER_3bf13a8e,Nord-Ouest
USER_79321756,USER_37be29a0,Nord-Ouest
USER_79321756,USER_450666df,Nord-Ouest
USER_79321756,USER_f14c1f3a,Nord-Ouest
USER_79321756,USER_c9e66868,Nord-Ouest
USER_79321756,USER_c90756db,Nord-Ouest
USER_79321756,USER_6ccd47dd,Nord-Est
USER_79321756,USER_8fe48fab,Nord-Ouest
USER_79321756,USER_3236f45c,Nord-Ouest
USER_79321756,USER_b722abdb,Nord-Ouest
USER_79321756,USER_da9b95f0,Nord-Ouest
USER_79321756,USER_43373514,Nord-Ouest
USER_79321756,USER_2d902419,Nord-Ouest
USER_79321756,USER_b5ff1961,Nord-Ouest
USER_79321756,USER_10145952,Nord-Ouest
USER_79321756,USER_78b17d8b,Nord-Ouest
USER_79321756,USER_d0d5e0af,Nord-Est
USER_79321756,USER_e673c2b9,Nord-Ouest
USER_79321756,USER_6c3d76bf,Nord-Ouest
USER_79321756,USER_1206399e,Nord-Ouest
USER_79321756,USER_f108c2a0,Nord-Ouest
USER_79321756,USER_12a816af,Nord-Ouest
USER_79321756,USER_9983156b,Nord-Ouest
USER_79321756,USER_ca82669a,Nord-Ouest
USER_79321756,USER_dd7199d8,Nord-Ouest
USER_79321756,USER_2334a6c6,Nord-Ouest
USER_79321756,USER_8a2fec5c,Nord-Ouest
USER_79321756,USER_34d2b648,Nord-Ouest
USER_79321756,USER_d01292fa,Nord-Ouest
USER_79321756,USER_52121c40,Nord-Ouest
USER_79321756,USER_fbcb7271,Nord-Ouest
USER_79321756,USER_61f7e3c0,Nord-Ouest
USER_79321756,USER_faecbb71,Nord-Ouest
USER_79321756,USER_ac1417af,Nord-Ouest
USER_79321756,USER_77463a28,Nord-Ouest
USER_79321756,USER_ba4ca6e3,Nord-Ouest
USER_79321756,USER_2270bc46,Nord-Ouest
USER_79321756,USER_06f07cc0,Nord-Ouest
USER_79321756,USER_b6cc1831,Nord-Ouest
USER_79321756,USER_9b17d6eb,Nord-Ouest
USER_79321756,USER_cf620165,Nord-Ouest
USER_79321756,USER_a8a902ec,Nord-Ouest
USER_79321756,USER_9eddb05b,Nord-Ouest
USER_79321756,USER_1af09980,Nord-Ouest
USER_79321756,USER_c1fe6872,Nord-Ouest
USER_79321756,USER_ae93d942,Nord-Ouest
USER_79321756,USER_414a0e0a,Nord-Ouest
USER_79321756,USER_134a32d2,Nord-Ouest
USER_79321756,USER_438e086f,Nord-Ouest
USER_79321756,USER_924c2638,Nord-Ouest
USER_79321756,USER_5657b082,Nord-Ouest
USER_79321756,USER_66bd3e88,Nord-Ouest
USER_79321756,USER_58d16553,Nord-Ouest
USER_79321756,USER_0faebcb7,Nord-Ouest
USER_79321756,USER_099db2a2,Nord-Ouest
USER_79321756,USER_63e6ed45,Nord-Ouest
USER_79321756,USER_2f62fdfe,Nord-Ouest
USER_79321756,USER_a5b81e91,Nord-Ouest
USER_79321756,USER_31dbeea0,Nord-Ouest
USER_79321756,USER_3f8ede73,Nord-Ouest
